Age Band,Gender,Patient Health Risk Level,Clinical Condition Type,Clinical Condition,Managing Physician Specialty,Managing Physician,Member Count,Episode Count,YTD Inpatient Short Stay Utilization,Annualized Inpatient Short Stay Utilization,Benchmark Inpatient Short Stay Utilization,YTD 30D Readmission Rate,YTD 30D Readmission Rate - D,YTD 30D Readmission Rate - N,Annualized 30D Readmission Rate,Annualized 30D Readmission Rate - D,Annualized 30D Readmission Rate - N,Benchmark 30D Readmission Rate,Benchmark 30D Readm Rate - D,Benchmark 30D Readm Rate - N,YTD 30D Post Discharge ER Rate,YTD 30D Post Discharge ER Rate - D,YTD 30D Post Discharge ER Rate - N,Annualized 30D Post Discharge ER Rate,Annualized 30D Post Discharge ER Rate - D,Annualized 30D Post Discharge ER Rate - N,Benchmark 30D Post Discharge ER Rate,Benchmark 30D ER Rate - D,Benchmark 30D ER Rate - N
65-74,F,High,Acute,G.I. Hemorrhage,Gastroenterologist,Physician20,2,2,0.105628518,0.23238274,0.221316896,0.104830002,1.142361079,0.119753714,0.131037502,2.513194374,0.329322713,0.119125002,2.33349196,0.277977235,0.068946718,1.142361079,0.078762048,0.086183398,2.513194374,0.216595631,0.082079427,2.33349196,0.191531682
65-74,F,High,Acute,Joint Replacement,Orthopedics,Physician8,3,3,0.168876058,0.371527328,0.353835551,0.100775795,1.685615301,0.169869222,0.125969744,3.708353661,0.46714036,0.114517949,3.306,0.378596339,0.065379645,1.685615301,0.110204929,0.081724556,3.708353661,0.303063555,0.07783291,3.306,0.257315601
65-74,F,High,Acute,Joint Replacement,Orthopedics,Physician5,2,2,0.112584039,0.247684886,0.235890367,0.100775795,1.050608132,0.10587587,0.125969744,2.311337889,0.291158642,0.114517949,2.204,0.252397559,0.065379645,1.050608132,0.068688386,0.081724556,2.311337889,0.188893062,0.07783291,2.204,0.171543734
65-74,F,High,Acute,Joint Replacement,Orthopedics,Physician4,1,1,0.056292019,0.123842443,0.117945184,0.100775795,0.56988949,0.057431066,0.125969744,1.253756877,0.157935433,0.114517949,1.102,0.12619878,0.065379645,0.56988949,0.037259172,0.081724556,1.253756877,0.102462724,0.07783291,1.102,0.085771867
65-74,F,High,Acute,Joint Replacement,Orthopedics,Physician6,1,1,0.056292019,0.123842443,0.117945184,0.100775795,0.569086087,0.057350103,0.125969744,1.251989391,0.157712783,0.114517949,1.102,0.12619878,0.065379645,0.569086087,0.037206646,0.081724556,1.251989391,0.102318277,0.07783291,1.102,0.085771867
65-74,F,High,Acute,Joint Replacement,Orthopedics,Physician7,4,4,0.225168078,0.495369771,0.471780734,0.100775795,2.345646762,0.236384417,0.125969744,5.160422877,0.650057148,0.114517949,4.408,0.504795119,0.065379645,2.345646762,0.153357551,0.081724556,5.160422877,0.421733267,0.07783291,4.408,0.343087468
65-74,F,High,Acute,Pneumonia,Primary Care,Physician12,3,3,0.148759233,0.327270312,0.311686011,0.114925744,1.537737814,0.176725662,0.143657179,3.38302319,0.485995569,0.130597436,3.404722486,0.444648026,0.074588977,1.537737814,0.11469829,0.093236221,3.38302319,0.315420297,0.088796401,3.404722486,0.302327102
65-74,F,High,Acute,Pneumonia,Primary Care,Physician11,1,1,0.049586411,0.109090104,0.103895337,0.114925744,0.52216036,0.060009668,0.143657179,1.148752793,0.165026586,0.130597436,1.134907495,0.148216009,0.074588977,0.52216036,0.038947407,0.093236221,1.148752793,0.107105369,0.088796401,1.134907495,0.100775701
65-74,F,High,Acute,Pneumonia,Primary Care,Physician10,1,1,0.049586411,0.109090104,0.103895337,0.114925744,0.54695753,0.062859501,0.143657179,1.203306566,0.172863627,0.130597436,1.134907495,0.148216009,0.074588977,0.54695753,0.040797002,0.093236221,1.203306566,0.112191757,0.088796401,1.134907495,0.100775701
65-74,F,High,Acute,Percutaneous Coronary Intervention,Cardiology,Physician25,4,4,0.150011798,0.330025955,0.314310434,0.115066588,1.988886845,0.228854423,0.143833235,4.375551059,0.629349663,0.130757486,4.788,0.626066844,0.071017403,1.988886845,0.141245579,0.088771754,4.375551059,0.388425341,0.084544527,4.788,0.404799197
